INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat700-2.clq	1	40	3.17
p_hat700-2.clq	2	37	4.04
p_hat700-2.clq	3	37	2.92
p_hat700-2.clq	4	39	2.98
p_hat700-2.clq	5	38	3.83
p_hat700-2.clq	6	39	3.16
p_hat700-2.clq	7	40	3.07
p_hat700-2.clq	8	39	2.85
p_hat700-2.clq	9	40	4.83
p_hat700-2.clq	10	37	4.67
p_hat700-2.clq	11	41	5.14
p_hat700-2.clq	12	38	4.79
p_hat700-2.clq	13	40	5.13
p_hat700-2.clq	14	38	2.93
p_hat700-2.clq	15	39	3.21
p_hat700-2.clq	16	40	5.84
p_hat700-2.clq	17	40	5.05
p_hat700-2.clq	18	38	2.90
p_hat700-2.clq	19	38	4.13
p_hat700-2.clq	20	40	3.75
p_hat700-2.clq	21	39	3.07
p_hat700-2.clq	22	39	2.90
p_hat700-2.clq	23	39	4.11
p_hat700-2.clq	24	40	8.17
p_hat700-2.clq	25	40	3.09
p_hat700-2.clq	26	40	3.06
p_hat700-2.clq	27	38	5.07
p_hat700-2.clq	28	39	4.01
p_hat700-2.clq	29	39	6.08
p_hat700-2.clq	30	41	4.11
p_hat700-2.clq	31	39	3.08
p_hat700-2.clq	32	39	4.88
p_hat700-2.clq	33	38	4.05
p_hat700-2.clq	34	39	3.08
p_hat700-2.clq	35	39	3.94
p_hat700-2.clq	36	39	3.89
p_hat700-2.clq	37	40	3.02
p_hat700-2.clq	38	40	3.03
p_hat700-2.clq	39	41	3.11
p_hat700-2.clq	40	39	3.11
p_hat700-2.clq	41	39	2.82
p_hat700-2.clq	42	40	7.01
p_hat700-2.clq	43	40	3.95
p_hat700-2.clq	44	39	5.06
p_hat700-2.clq	45	38	3.07
p_hat700-2.clq	46	41	6.83
p_hat700-2.clq	47	37	2.75
p_hat700-2.clq	48	40	6.87
p_hat700-2.clq	49	40	3.04
p_hat700-2.clq	50	40	3.99
p_hat700-2.clq	51	40	3.06
p_hat700-2.clq	52	42	6.29
p_hat700-2.clq	53	38	2.97
p_hat700-2.clq	54	38	4.08
p_hat700-2.clq	55	38	4.00
p_hat700-2.clq	56	40	4.02
p_hat700-2.clq	57	41	3.03
p_hat700-2.clq	58	41	5.93
p_hat700-2.clq	59	41	5.23
p_hat700-2.clq	60	39	3.02
p_hat700-2.clq	61	39	4.12
p_hat700-2.clq	62	39	2.96
p_hat700-2.clq	63	40	4.13
p_hat700-2.clq	64	38	2.92
p_hat700-2.clq	65	39	3.95
p_hat700-2.clq	66	39	3.12
p_hat700-2.clq	67	38	3.00
p_hat700-2.clq	68	39	4.27
p_hat700-2.clq	69	39	3.02
p_hat700-2.clq	70	39	4.14
p_hat700-2.clq	71	38	3.10
p_hat700-2.clq	72	38	2.89
p_hat700-2.clq	73	39	3.94
p_hat700-2.clq	74	39	3.04
p_hat700-2.clq	75	40	5.27
p_hat700-2.clq	76	38	2.95
p_hat700-2.clq	77	39	5.11
p_hat700-2.clq	78	41	3.10
p_hat700-2.clq	79	39	5.01
p_hat700-2.clq	80	41	6.19
p_hat700-2.clq	81	41	5.10
p_hat700-2.clq	82	41	5.29
p_hat700-2.clq	83	40	4.01
p_hat700-2.clq	84	40	4.96
p_hat700-2.clq	85	41	3.13
p_hat700-2.clq	86	39	3.17
p_hat700-2.clq	87	39	4.00
p_hat700-2.clq	88	40	4.01
p_hat700-2.clq	89	37	3.09
p_hat700-2.clq	90	40	3.08
p_hat700-2.clq	91	40	2.95
p_hat700-2.clq	92	39	3.03
p_hat700-2.clq	93	40	5.20
p_hat700-2.clq	94	38	4.06
p_hat700-2.clq	95	42	3.16
p_hat700-2.clq	96	39	3.11
p_hat700-2.clq	97	39	4.13
p_hat700-2.clq	98	39	4.01
p_hat700-2.clq	99	41	5.18
p_hat700-2.clq	100	40	3.12
