INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat1500-2.clq	1	57	17.08
p_hat1500-2.clq	2	58	17.80
p_hat1500-2.clq	3	57	24.05
p_hat1500-2.clq	4	58	28.24
p_hat1500-2.clq	5	57	18.72
p_hat1500-2.clq	6	58	17.69
p_hat1500-2.clq	7	57	17.47
p_hat1500-2.clq	8	57	17.74
p_hat1500-2.clq	9	57	17.47
p_hat1500-2.clq	10	58	17.92
p_hat1500-2.clq	11	57	16.67
p_hat1500-2.clq	12	58	36.16
p_hat1500-2.clq	13	56	28.78
p_hat1500-2.clq	14	58	17.99
p_hat1500-2.clq	15	58	17.81
p_hat1500-2.clq	16	59	35.72
p_hat1500-2.clq	17	57	17.61
p_hat1500-2.clq	18	57	16.54
p_hat1500-2.clq	19	59	17.81
p_hat1500-2.clq	20	58	24.27
p_hat1500-2.clq	21	58	22.40
p_hat1500-2.clq	22	59	17.77
p_hat1500-2.clq	23	58	23.55
p_hat1500-2.clq	24	57	23.07
p_hat1500-2.clq	25	59	53.30
p_hat1500-2.clq	26	57	17.73
p_hat1500-2.clq	27	55	17.05
p_hat1500-2.clq	28	57	23.89
p_hat1500-2.clq	29	58	29.87
p_hat1500-2.clq	30	59	17.70
p_hat1500-2.clq	31	57	22.86
p_hat1500-2.clq	32	57	22.73
p_hat1500-2.clq	33	58	40.59
p_hat1500-2.clq	34	56	22.76
p_hat1500-2.clq	35	57	29.61
p_hat1500-2.clq	36	57	17.61
p_hat1500-2.clq	37	60	17.70
p_hat1500-2.clq	38	56	23.23
p_hat1500-2.clq	39	58	23.76
p_hat1500-2.clq	40	58	22.89
p_hat1500-2.clq	41	58	28.15
p_hat1500-2.clq	42	59	23.62
p_hat1500-2.clq	43	58	29.04
p_hat1500-2.clq	44	57	17.46
p_hat1500-2.clq	45	58	35.67
p_hat1500-2.clq	46	60	34.30
p_hat1500-2.clq	47	58	29.66
p_hat1500-2.clq	48	58	30.35
p_hat1500-2.clq	49	58	23.29
p_hat1500-2.clq	50	57	18.23
p_hat1500-2.clq	51	56	17.33
p_hat1500-2.clq	52	57	17.46
p_hat1500-2.clq	53	58	35.18
p_hat1500-2.clq	54	58	30.15
p_hat1500-2.clq	55	57	18.15
p_hat1500-2.clq	56	57	18.42
p_hat1500-2.clq	57	58	41.31
p_hat1500-2.clq	58	57	16.98
p_hat1500-2.clq	59	57	17.80
p_hat1500-2.clq	60	56	17.03
p_hat1500-2.clq	61	58	29.30
p_hat1500-2.clq	62	59	35.09
p_hat1500-2.clq	63	57	29.31
p_hat1500-2.clq	64	58	16.65
p_hat1500-2.clq	65	58	29.07
p_hat1500-2.clq	66	58	28.64
p_hat1500-2.clq	67	58	22.31
p_hat1500-2.clq	68	59	16.44
p_hat1500-2.clq	69	58	17.70
p_hat1500-2.clq	70	57	23.20
p_hat1500-2.clq	71	57	17.56
p_hat1500-2.clq	72	56	22.90
p_hat1500-2.clq	73	57	17.61
p_hat1500-2.clq	74	57	18.23
p_hat1500-2.clq	75	56	17.46
p_hat1500-2.clq	76	56	23.18
p_hat1500-2.clq	77	56	23.08
p_hat1500-2.clq	78	59	18.29
p_hat1500-2.clq	79	57	29.24
p_hat1500-2.clq	80	58	22.27
p_hat1500-2.clq	81	57	23.03
p_hat1500-2.clq	82	56	17.43
p_hat1500-2.clq	83	58	17.28
p_hat1500-2.clq	84	56	17.80
p_hat1500-2.clq	85	59	17.74
p_hat1500-2.clq	86	57	30.10
p_hat1500-2.clq	87	56	17.16
p_hat1500-2.clq	88	58	17.45
p_hat1500-2.clq	89	58	29.41
p_hat1500-2.clq	90	59	24.15
p_hat1500-2.clq	91	57	17.34
p_hat1500-2.clq	92	57	17.23
p_hat1500-2.clq	93	57	22.75
p_hat1500-2.clq	94	58	23.93
p_hat1500-2.clq	95	58	17.38
p_hat1500-2.clq	96	57	17.53
p_hat1500-2.clq	97	57	17.40
p_hat1500-2.clq	98	57	18.11
p_hat1500-2.clq	99	57	22.88
p_hat1500-2.clq	100	55	17.36
