INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

C250.9.clq	1	38	1.53
C250.9.clq	2	37	0.92
C250.9.clq	3	37	1.27
C250.9.clq	4	36	0.88
C250.9.clq	5	37	0.87
C250.9.clq	6	36	0.88
C250.9.clq	7	37	1.46
C250.9.clq	8	38	0.83
C250.9.clq	9	37	0.91
C250.9.clq	10	37	1.20
C250.9.clq	11	37	1.44
C250.9.clq	12	39	1.57
C250.9.clq	13	36	0.83
C250.9.clq	14	36	0.81
C250.9.clq	15	38	1.78
C250.9.clq	16	38	1.17
C250.9.clq	17	36	1.24
C250.9.clq	18	40	1.21
C250.9.clq	19	39	1.03
C250.9.clq	20	37	1.05
C250.9.clq	21	36	1.59
C250.9.clq	22	37	1.01
C250.9.clq	23	36	0.92
C250.9.clq	24	37	1.53
C250.9.clq	25	37	1.74
C250.9.clq	26	36	0.87
C250.9.clq	27	37	1.44
C250.9.clq	28	36	0.78
C250.9.clq	29	37	0.90
C250.9.clq	30	36	0.89
C250.9.clq	31	36	0.89
C250.9.clq	32	37	1.68
C250.9.clq	33	38	1.94
C250.9.clq	34	37	1.54
C250.9.clq	35	37	1.00
C250.9.clq	36	36	1.01
C250.9.clq	37	38	2.13
C250.9.clq	38	36	1.21
C250.9.clq	39	35	0.91
C250.9.clq	40	38	1.35
C250.9.clq	41	37	1.73
C250.9.clq	42	36	1.15
C250.9.clq	43	37	0.98
C250.9.clq	44	37	1.79
C250.9.clq	45	37	1.43
C250.9.clq	46	37	1.44
C250.9.clq	47	36	0.88
C250.9.clq	48	38	1.25
C250.9.clq	49	38	0.98
C250.9.clq	50	36	1.13
C250.9.clq	51	36	0.83
C250.9.clq	52	38	0.89
C250.9.clq	53	37	0.86
C250.9.clq	54	38	1.45
C250.9.clq	55	35	0.87
C250.9.clq	56	37	0.89
C250.9.clq	57	36	0.86
C250.9.clq	58	35	0.86
C250.9.clq	59	37	1.74
C250.9.clq	60	37	1.81
C250.9.clq	61	37	1.21
C250.9.clq	62	37	1.16
C250.9.clq	63	37	1.22
C250.9.clq	64	35	0.89
C250.9.clq	65	37	1.73
C250.9.clq	66	37	1.18
C250.9.clq	67	36	1.42
C250.9.clq	68	38	1.59
C250.9.clq	69	37	1.63
C250.9.clq	70	37	0.95
C250.9.clq	71	37	1.05
C250.9.clq	72	36	0.91
C250.9.clq	73	36	0.90
C250.9.clq	74	38	1.20
C250.9.clq	75	36	0.91
C250.9.clq	76	38	0.85
C250.9.clq	77	36	1.15
C250.9.clq	78	37	1.50
C250.9.clq	79	38	1.93
C250.9.clq	80	36	0.84
C250.9.clq	81	37	0.85
C250.9.clq	82	38	1.25
C250.9.clq	83	38	1.50
C250.9.clq	84	38	1.80
C250.9.clq	85	38	1.83
C250.9.clq	86	38	0.86
C250.9.clq	87	38	1.00
C250.9.clq	88	36	0.94
C250.9.clq	89	38	0.87
C250.9.clq	90	37	1.18
C250.9.clq	91	39	1.48
C250.9.clq	92	36	0.90
C250.9.clq	93	38	1.81
C250.9.clq	94	39	1.75
C250.9.clq	95	39	1.80
C250.9.clq	96	37	0.92
C250.9.clq	97	36	1.38
C250.9.clq	98	38	1.80
C250.9.clq	99	39	0.84
C250.9.clq	100	38	1.44
