INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat300-2.clq	1	24	0.66
p_hat300-2.clq	2	24	0.32
p_hat300-2.clq	3	24	0.33
p_hat300-2.clq	4	22	0.31
p_hat300-2.clq	5	21	0.29
p_hat300-2.clq	6	22	0.60
p_hat300-2.clq	7	23	0.50
p_hat300-2.clq	8	24	0.32
p_hat300-2.clq	9	25	0.41
p_hat300-2.clq	10	24	0.41
p_hat300-2.clq	11	24	0.39
p_hat300-2.clq	12	24	0.66
p_hat300-2.clq	13	25	0.75
p_hat300-2.clq	14	23	0.42
p_hat300-2.clq	15	23	0.42
p_hat300-2.clq	16	22	0.44
p_hat300-2.clq	17	24	0.40
p_hat300-2.clq	18	24	0.40
p_hat300-2.clq	19	24	0.55
p_hat300-2.clq	20	21	0.39
p_hat300-2.clq	21	24	0.51
p_hat300-2.clq	22	24	0.52
p_hat300-2.clq	23	24	0.63
p_hat300-2.clq	24	24	0.29
p_hat300-2.clq	25	24	0.31
p_hat300-2.clq	26	24	0.31
p_hat300-2.clq	27	24	0.56
p_hat300-2.clq	28	25	0.32
p_hat300-2.clq	29	24	0.32
p_hat300-2.clq	30	24	0.38
p_hat300-2.clq	31	23	0.42
p_hat300-2.clq	32	21	0.31
p_hat300-2.clq	33	24	0.32
p_hat300-2.clq	34	23	0.30
p_hat300-2.clq	35	24	0.32
p_hat300-2.clq	36	24	0.41
p_hat300-2.clq	37	25	0.62
p_hat300-2.clq	38	23	0.41
p_hat300-2.clq	39	23	0.33
p_hat300-2.clq	40	24	0.49
p_hat300-2.clq	41	23	0.42
p_hat300-2.clq	42	23	0.32
p_hat300-2.clq	43	23	0.31
p_hat300-2.clq	44	21	0.30
p_hat300-2.clq	45	24	0.88
p_hat300-2.clq	46	24	0.32
p_hat300-2.clq	47	22	0.32
p_hat300-2.clq	48	24	0.41
p_hat300-2.clq	49	24	0.53
p_hat300-2.clq	50	24	0.40
p_hat300-2.clq	51	21	0.31
p_hat300-2.clq	52	24	0.49
p_hat300-2.clq	53	25	1.04
p_hat300-2.clq	54	25	0.62
p_hat300-2.clq	55	23	0.43
p_hat300-2.clq	56	24	0.61
p_hat300-2.clq	57	24	0.43
p_hat300-2.clq	58	24	0.41
p_hat300-2.clq	59	22	0.48
p_hat300-2.clq	60	24	0.41
p_hat300-2.clq	61	20	0.29
p_hat300-2.clq	62	24	0.31
p_hat300-2.clq	63	25	0.29
p_hat300-2.clq	64	25	0.41
p_hat300-2.clq	65	24	0.52
p_hat300-2.clq	66	22	0.49
p_hat300-2.clq	67	23	0.53
p_hat300-2.clq	68	22	0.30
p_hat300-2.clq	69	24	0.31
p_hat300-2.clq	70	23	0.60
p_hat300-2.clq	71	24	0.42
p_hat300-2.clq	72	24	0.62
p_hat300-2.clq	73	24	0.43
p_hat300-2.clq	74	25	0.54
p_hat300-2.clq	75	24	0.33
p_hat300-2.clq	76	24	0.45
p_hat300-2.clq	77	24	0.41
p_hat300-2.clq	78	24	0.31
p_hat300-2.clq	79	23	0.31
p_hat300-2.clq	80	24	0.40
p_hat300-2.clq	81	24	0.42
p_hat300-2.clq	82	24	0.60
p_hat300-2.clq	83	24	0.40
p_hat300-2.clq	84	23	0.41
p_hat300-2.clq	85	23	0.39
p_hat300-2.clq	86	24	0.32
p_hat300-2.clq	87	24	0.51
p_hat300-2.clq	88	23	0.41
p_hat300-2.clq	89	24	0.41
p_hat300-2.clq	90	24	0.50
p_hat300-2.clq	91	22	0.51
p_hat300-2.clq	92	24	0.30
p_hat300-2.clq	93	25	0.43
p_hat300-2.clq	94	24	0.42
p_hat300-2.clq	95	24	0.29
p_hat300-2.clq	96	23	0.61
p_hat300-2.clq	97	22	0.30
p_hat300-2.clq	98	23	0.40
p_hat300-2.clq	99	24	0.51
p_hat300-2.clq	100	23	0.31
