INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

C2000.5.clq	1	12	6.69
C2000.5.clq	2	13	9.37
C2000.5.clq	3	13	11.80
C2000.5.clq	4	12	9.28
C2000.5.clq	5	12	9.18
C2000.5.clq	6	12	6.80
C2000.5.clq	7	12	6.42
C2000.5.clq	8	13	7.14
C2000.5.clq	9	12	6.58
C2000.5.clq	10	12	6.98
C2000.5.clq	11	12	6.89
C2000.5.clq	12	13	7.09
C2000.5.clq	13	12	9.04
C2000.5.clq	14	13	6.79
C2000.5.clq	15	12	6.98
C2000.5.clq	16	13	6.65
C2000.5.clq	17	12	6.48
C2000.5.clq	18	12	6.55
C2000.5.clq	19	13	9.65
C2000.5.clq	20	13	8.24
C2000.5.clq	21	12	10.20
C2000.5.clq	22	12	10.26
C2000.5.clq	23	12	8.94
C2000.5.clq	24	13	8.81
C2000.5.clq	25	13	7.16
C2000.5.clq	26	12	9.24
C2000.5.clq	27	13	7.42
C2000.5.clq	28	13	11.31
C2000.5.clq	29	14	17.02
C2000.5.clq	30	13	11.98
C2000.5.clq	31	13	11.45
C2000.5.clq	32	12	6.91
C2000.5.clq	33	13	6.70
C2000.5.clq	34	12	7.10
C2000.5.clq	35	13	6.67
C2000.5.clq	36	12	7.09
C2000.5.clq	37	13	9.30
C2000.5.clq	38	13	7.13
C2000.5.clq	39	12	6.73
C2000.5.clq	40	13	9.14
C2000.5.clq	41	12	6.60
C2000.5.clq	42	13	6.83
C2000.5.clq	43	13	9.25
C2000.5.clq	44	11	6.74
C2000.5.clq	45	13	9.55
C2000.5.clq	46	12	6.76
C2000.5.clq	47	12	6.70
C2000.5.clq	48	13	8.96
C2000.5.clq	49	13	6.79
C2000.5.clq	50	13	11.41
C2000.5.clq	51	13	8.88
C2000.5.clq	52	13	11.24
C2000.5.clq	53	13	9.43
C2000.5.clq	54	11	6.71
C2000.5.clq	55	12	6.83
C2000.5.clq	56	13	6.69
C2000.5.clq	57	12	6.67
C2000.5.clq	58	12	6.90
C2000.5.clq	59	13	11.90
C2000.5.clq	60	12	6.94
C2000.5.clq	61	13	6.79
C2000.5.clq	62	12	6.73
C2000.5.clq	63	13	10.92
C2000.5.clq	64	14	9.12
C2000.5.clq	65	13	6.59
C2000.5.clq	66	13	9.15
C2000.5.clq	67	12	6.64
C2000.5.clq	68	12	7.28
C2000.5.clq	69	12	6.92
C2000.5.clq	70	12	6.60
C2000.5.clq	71	11	6.50
C2000.5.clq	72	13	8.92
C2000.5.clq	73	13	9.11
C2000.5.clq	74	13	7.22
C2000.5.clq	75	14	7.04
C2000.5.clq	76	12	8.85
C2000.5.clq	77	13	9.25
C2000.5.clq	78	12	6.70
C2000.5.clq	79	14	9.24
C2000.5.clq	80	12	6.76
C2000.5.clq	81	12	6.58
C2000.5.clq	82	13	11.44
C2000.5.clq	83	13	9.41
C2000.5.clq	84	13	11.35
C2000.5.clq	85	13	13.42
C2000.5.clq	86	14	11.74
C2000.5.clq	87	12	6.65
C2000.5.clq	88	12	6.50
C2000.5.clq	89	12	6.66
C2000.5.clq	90	13	6.76
C2000.5.clq	91	13	6.96
C2000.5.clq	92	13	9.66
C2000.5.clq	93	12	9.20
C2000.5.clq	94	11	6.78
C2000.5.clq	95	12	8.99
C2000.5.clq	96	13	8.99
C2000.5.clq	97	14	16.33
C2000.5.clq	98	12	9.11
C2000.5.clq	99	13	11.32
C2000.5.clq	100	14	13.48
