INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat300-3.clq	1	31	0.74
p_hat300-3.clq	2	31	0.68
p_hat300-3.clq	3	31	1.45
p_hat300-3.clq	4	31	0.96
p_hat300-3.clq	5	32	0.68
p_hat300-3.clq	6	32	0.94
p_hat300-3.clq	7	32	1.23
p_hat300-3.clq	8	31	0.67
p_hat300-3.clq	9	33	0.75
p_hat300-3.clq	10	31	0.74
p_hat300-3.clq	11	31	1.14
p_hat300-3.clq	12	31	0.99
p_hat300-3.clq	13	30	0.71
p_hat300-3.clq	14	32	0.68
p_hat300-3.clq	15	32	0.94
p_hat300-3.clq	16	32	0.75
p_hat300-3.clq	17	32	0.70
p_hat300-3.clq	18	31	0.68
p_hat300-3.clq	19	30	0.68
p_hat300-3.clq	20	32	0.96
p_hat300-3.clq	21	32	0.92
p_hat300-3.clq	22	33	0.78
p_hat300-3.clq	23	33	1.21
p_hat300-3.clq	24	32	0.99
p_hat300-3.clq	25	31	0.94
p_hat300-3.clq	26	33	0.97
p_hat300-3.clq	27	30	0.69
p_hat300-3.clq	28	31	0.77
p_hat300-3.clq	29	31	0.71
p_hat300-3.clq	30	31	0.74
p_hat300-3.clq	31	33	0.98
p_hat300-3.clq	32	33	0.92
p_hat300-3.clq	33	31	0.98
p_hat300-3.clq	34	32	1.18
p_hat300-3.clq	35	31	1.18
p_hat300-3.clq	36	31	0.74
p_hat300-3.clq	37	30	0.66
p_hat300-3.clq	38	31	0.96
p_hat300-3.clq	39	31	0.71
p_hat300-3.clq	40	31	0.72
p_hat300-3.clq	41	30	0.69
p_hat300-3.clq	42	30	0.68
p_hat300-3.clq	43	32	0.75
p_hat300-3.clq	44	31	1.22
p_hat300-3.clq	45	32	0.94
p_hat300-3.clq	46	31	0.71
p_hat300-3.clq	47	32	0.97
p_hat300-3.clq	48	30	0.69
p_hat300-3.clq	49	32	0.91
p_hat300-3.clq	50	32	1.15
p_hat300-3.clq	51	31	0.66
p_hat300-3.clq	52	31	0.73
p_hat300-3.clq	53	31	0.71
p_hat300-3.clq	54	31	1.19
p_hat300-3.clq	55	30	0.69
p_hat300-3.clq	56	31	0.73
p_hat300-3.clq	57	31	0.74
p_hat300-3.clq	58	32	1.42
p_hat300-3.clq	59	31	0.68
p_hat300-3.clq	60	31	1.06
p_hat300-3.clq	61	32	1.57
p_hat300-3.clq	62	32	1.21
p_hat300-3.clq	63	32	1.16
p_hat300-3.clq	64	31	0.70
p_hat300-3.clq	65	30	0.93
p_hat300-3.clq	66	31	1.21
p_hat300-3.clq	67	31	0.73
p_hat300-3.clq	68	31	0.75
p_hat300-3.clq	69	32	1.21
p_hat300-3.clq	70	33	1.23
p_hat300-3.clq	71	31	0.92
p_hat300-3.clq	72	32	1.19
p_hat300-3.clq	73	31	1.22
p_hat300-3.clq	74	31	0.71
p_hat300-3.clq	75	32	0.97
p_hat300-3.clq	76	32	1.26
p_hat300-3.clq	77	31	1.15
p_hat300-3.clq	78	31	0.70
p_hat300-3.clq	79	31	0.70
p_hat300-3.clq	80	31	0.95
p_hat300-3.clq	81	31	0.68
p_hat300-3.clq	82	32	0.77
p_hat300-3.clq	83	31	1.19
p_hat300-3.clq	84	30	0.71
p_hat300-3.clq	85	32	0.90
p_hat300-3.clq	86	30	0.92
p_hat300-3.clq	87	31	0.96
p_hat300-3.clq	88	31	0.98
p_hat300-3.clq	89	33	1.19
p_hat300-3.clq	90	32	0.73
p_hat300-3.clq	91	33	1.16
p_hat300-3.clq	92	31	1.17
p_hat300-3.clq	93	30	0.68
p_hat300-3.clq	94	31	1.14
p_hat300-3.clq	95	30	0.89
p_hat300-3.clq	96	32	1.40
p_hat300-3.clq	97	33	0.72
p_hat300-3.clq	98	31	0.73
p_hat300-3.clq	99	31	0.97
p_hat300-3.clq	100	31	0.67
