INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat700-1.clq	1	7	0.33
p_hat700-1.clq	2	8	0.31
p_hat700-1.clq	3	8	0.55
p_hat700-1.clq	4	8	0.35
p_hat700-1.clq	5	8	0.34
p_hat700-1.clq	6	7	0.34
p_hat700-1.clq	7	8	0.58
p_hat700-1.clq	8	8	0.36
p_hat700-1.clq	9	9	0.34
p_hat700-1.clq	10	8	0.34
p_hat700-1.clq	11	8	0.34
p_hat700-1.clq	12	8	0.34
p_hat700-1.clq	13	8	0.34
p_hat700-1.clq	14	8	0.45
p_hat700-1.clq	15	9	0.35
p_hat700-1.clq	16	8	0.45
p_hat700-1.clq	17	8	0.34
p_hat700-1.clq	18	8	0.58
p_hat700-1.clq	19	8	0.45
p_hat700-1.clq	20	8	0.33
p_hat700-1.clq	21	8	0.34
p_hat700-1.clq	22	8	0.35
p_hat700-1.clq	23	8	0.34
p_hat700-1.clq	24	8	0.33
p_hat700-1.clq	25	8	0.46
p_hat700-1.clq	26	9	0.49
p_hat700-1.clq	27	8	0.34
p_hat700-1.clq	28	8	0.35
p_hat700-1.clq	29	7	0.36
p_hat700-1.clq	30	9	0.47
p_hat700-1.clq	31	8	0.36
p_hat700-1.clq	32	8	0.47
p_hat700-1.clq	33	8	0.45
p_hat700-1.clq	34	7	0.33
p_hat700-1.clq	35	9	0.38
p_hat700-1.clq	36	7	0.34
p_hat700-1.clq	37	7	0.32
p_hat700-1.clq	38	8	0.36
p_hat700-1.clq	39	7	0.35
p_hat700-1.clq	40	7	0.34
p_hat700-1.clq	41	8	0.36
p_hat700-1.clq	42	8	0.34
p_hat700-1.clq	43	8	0.35
p_hat700-1.clq	44	8	0.57
p_hat700-1.clq	45	8	0.34
p_hat700-1.clq	46	8	0.35
p_hat700-1.clq	47	8	0.59
p_hat700-1.clq	48	8	0.47
p_hat700-1.clq	49	8	0.45
p_hat700-1.clq	50	7	0.35
p_hat700-1.clq	51	8	0.45
p_hat700-1.clq	52	7	0.32
p_hat700-1.clq	53	7	0.33
p_hat700-1.clq	54	8	0.57
p_hat700-1.clq	55	8	0.33
p_hat700-1.clq	56	8	0.45
p_hat700-1.clq	57	8	0.46
p_hat700-1.clq	58	8	0.55
p_hat700-1.clq	59	7	0.35
p_hat700-1.clq	60	7	0.35
p_hat700-1.clq	61	7	0.34
p_hat700-1.clq	62	7	0.34
p_hat700-1.clq	63	7	0.54
p_hat700-1.clq	64	8	0.35
p_hat700-1.clq	65	8	0.35
p_hat700-1.clq	66	8	0.47
p_hat700-1.clq	67	7	0.34
p_hat700-1.clq	68	8	0.45
p_hat700-1.clq	69	9	0.34
p_hat700-1.clq	70	9	0.57
p_hat700-1.clq	71	9	0.47
p_hat700-1.clq	72	8	0.37
p_hat700-1.clq	73	8	0.45
p_hat700-1.clq	74	7	0.33
p_hat700-1.clq	75	7	0.33
p_hat700-1.clq	76	8	0.46
p_hat700-1.clq	77	8	0.48
p_hat700-1.clq	78	8	0.57
p_hat700-1.clq	79	8	0.58
p_hat700-1.clq	80	8	0.47
p_hat700-1.clq	81	8	0.48
p_hat700-1.clq	82	8	0.47
p_hat700-1.clq	83	8	0.45
p_hat700-1.clq	84	8	0.57
p_hat700-1.clq	85	8	0.34
p_hat700-1.clq	86	8	0.34
p_hat700-1.clq	87	8	0.34
p_hat700-1.clq	88	7	0.34
p_hat700-1.clq	89	8	0.35
p_hat700-1.clq	90	9	0.69
p_hat700-1.clq	91	8	0.34
p_hat700-1.clq	92	7	0.33
p_hat700-1.clq	93	9	0.59
p_hat700-1.clq	94	7	0.34
p_hat700-1.clq	95	8	0.56
p_hat700-1.clq	96	8	0.32
p_hat700-1.clq	97	9	0.59
p_hat700-1.clq	98	10	0.57
p_hat700-1.clq	99	9	0.44
p_hat700-1.clq	100	7	0.34
