INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat1500-1.clq	1	10	1.73
p_hat1500-1.clq	2	9	2.25
p_hat1500-1.clq	3	9	1.65
p_hat1500-1.clq	4	9	1.71
p_hat1500-1.clq	5	9	2.69
p_hat1500-1.clq	6	10	2.18
p_hat1500-1.clq	7	10	2.31
p_hat1500-1.clq	8	9	1.64
p_hat1500-1.clq	9	8	1.64
p_hat1500-1.clq	10	10	1.63
p_hat1500-1.clq	11	9	2.62
p_hat1500-1.clq	12	9	2.23
p_hat1500-1.clq	13	10	1.66
p_hat1500-1.clq	14	9	1.65
p_hat1500-1.clq	15	10	2.82
p_hat1500-1.clq	16	9	1.62
p_hat1500-1.clq	17	10	3.21
p_hat1500-1.clq	18	9	2.14
p_hat1500-1.clq	19	8	1.62
p_hat1500-1.clq	20	10	2.21
p_hat1500-1.clq	21	9	1.58
p_hat1500-1.clq	22	9	2.26
p_hat1500-1.clq	23	9	2.24
p_hat1500-1.clq	24	9	1.75
p_hat1500-1.clq	25	10	2.25
p_hat1500-1.clq	26	9	1.70
p_hat1500-1.clq	27	10	1.78
p_hat1500-1.clq	28	9	2.22
p_hat1500-1.clq	29	10	2.85
p_hat1500-1.clq	30	10	2.27
p_hat1500-1.clq	31	11	1.70
p_hat1500-1.clq	32	10	1.66
p_hat1500-1.clq	33	9	1.69
p_hat1500-1.clq	34	9	1.71
p_hat1500-1.clq	35	9	1.61
p_hat1500-1.clq	36	9	1.65
p_hat1500-1.clq	37	9	1.73
p_hat1500-1.clq	38	9	1.63
p_hat1500-1.clq	39	9	1.70
p_hat1500-1.clq	40	9	1.72
p_hat1500-1.clq	41	10	2.87
p_hat1500-1.clq	42	9	2.64
p_hat1500-1.clq	43	9	1.72
p_hat1500-1.clq	44	9	2.28
p_hat1500-1.clq	45	9	1.74
p_hat1500-1.clq	46	9	1.60
p_hat1500-1.clq	47	10	2.25
p_hat1500-1.clq	48	10	3.31
p_hat1500-1.clq	49	9	1.68
p_hat1500-1.clq	50	10	2.20
p_hat1500-1.clq	51	9	1.64
p_hat1500-1.clq	52	10	3.27
p_hat1500-1.clq	53	9	1.66
p_hat1500-1.clq	54	9	1.72
p_hat1500-1.clq	55	9	1.60
p_hat1500-1.clq	56	10	2.22
p_hat1500-1.clq	57	9	1.69
p_hat1500-1.clq	58	9	1.61
p_hat1500-1.clq	59	9	2.70
p_hat1500-1.clq	60	9	1.61
p_hat1500-1.clq	61	11	3.33
p_hat1500-1.clq	62	9	1.64
p_hat1500-1.clq	63	10	2.79
p_hat1500-1.clq	64	9	1.65
p_hat1500-1.clq	65	10	2.19
p_hat1500-1.clq	66	9	2.23
p_hat1500-1.clq	67	9	2.25
p_hat1500-1.clq	68	9	2.16
p_hat1500-1.clq	69	10	2.24
p_hat1500-1.clq	70	10	2.76
p_hat1500-1.clq	71	8	1.56
p_hat1500-1.clq	72	9	1.74
p_hat1500-1.clq	73	9	2.29
p_hat1500-1.clq	74	9	2.76
p_hat1500-1.clq	75	9	1.70
p_hat1500-1.clq	76	9	2.28
p_hat1500-1.clq	77	9	1.70
p_hat1500-1.clq	78	8	1.63
p_hat1500-1.clq	79	10	1.72
p_hat1500-1.clq	80	9	2.34
p_hat1500-1.clq	81	9	1.72
p_hat1500-1.clq	82	9	2.24
p_hat1500-1.clq	83	9	1.71
p_hat1500-1.clq	84	9	2.18
p_hat1500-1.clq	85	10	2.86
p_hat1500-1.clq	86	9	1.66
p_hat1500-1.clq	87	9	2.23
p_hat1500-1.clq	88	9	1.63
p_hat1500-1.clq	89	9	1.56
p_hat1500-1.clq	90	9	1.65
p_hat1500-1.clq	91	10	2.23
p_hat1500-1.clq	92	9	1.66
p_hat1500-1.clq	93	9	2.17
p_hat1500-1.clq	94	8	1.59
p_hat1500-1.clq	95	9	2.69
p_hat1500-1.clq	96	10	3.83
p_hat1500-1.clq	97	9	2.23
p_hat1500-1.clq	98	10	1.76
p_hat1500-1.clq	99	10	2.32
p_hat1500-1.clq	100	11	2.72
