INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

C125.9.clq	1	32	0.35
C125.9.clq	2	31	0.45
C125.9.clq	3	32	0.25
C125.9.clq	4	31	0.32
C125.9.clq	5	30	0.24
C125.9.clq	6	32	0.34
C125.9.clq	7	32	0.34
C125.9.clq	8	30	0.41
C125.9.clq	9	33	0.25
C125.9.clq	10	31	0.41
C125.9.clq	11	32	0.32
C125.9.clq	12	34	0.43
C125.9.clq	13	32	0.25
C125.9.clq	14	31	0.33
C125.9.clq	15	32	0.26
C125.9.clq	16	33	0.26
C125.9.clq	17	30	0.32
C125.9.clq	18	30	0.40
C125.9.clq	19	30	0.22
C125.9.clq	20	30	0.25
C125.9.clq	21	33	0.51
C125.9.clq	22	31	0.26
C125.9.clq	23	31	0.34
C125.9.clq	24	31	0.39
C125.9.clq	25	32	0.25
C125.9.clq	26	30	0.26
C125.9.clq	27	31	0.25
C125.9.clq	28	31	0.23
C125.9.clq	29	30	0.25
C125.9.clq	30	31	0.34
C125.9.clq	31	31	0.25
C125.9.clq	32	32	0.27
C125.9.clq	33	31	0.25
C125.9.clq	34	31	0.32
C125.9.clq	35	32	0.65
C125.9.clq	36	32	0.31
C125.9.clq	37	32	0.51
C125.9.clq	38	30	0.23
C125.9.clq	39	32	0.40
C125.9.clq	40	30	0.24
C125.9.clq	41	31	0.24
C125.9.clq	42	30	0.33
C125.9.clq	43	31	0.41
C125.9.clq	44	31	0.50
C125.9.clq	45	31	0.32
C125.9.clq	46	32	0.41
C125.9.clq	47	29	0.30
C125.9.clq	48	32	0.66
C125.9.clq	49	32	0.30
C125.9.clq	50	31	0.55
C125.9.clq	51	31	0.28
C125.9.clq	52	30	0.24
C125.9.clq	53	30	0.25
C125.9.clq	54	33	0.43
C125.9.clq	55	30	0.27
C125.9.clq	56	30	0.24
C125.9.clq	57	31	0.24
C125.9.clq	58	31	0.25
C125.9.clq	59	33	0.37
C125.9.clq	60	31	0.24
C125.9.clq	61	31	0.33
C125.9.clq	62	31	0.25
C125.9.clq	63	32	0.24
C125.9.clq	64	32	0.52
C125.9.clq	65	32	0.27
C125.9.clq	66	31	0.28
C125.9.clq	67	31	0.24
C125.9.clq	68	32	0.37
C125.9.clq	69	31	0.24
C125.9.clq	70	32	0.37
C125.9.clq	71	31	0.26
C125.9.clq	72	32	0.28
C125.9.clq	73	32	0.28
C125.9.clq	74	33	0.43
C125.9.clq	75	31	0.37
C125.9.clq	76	32	0.43
C125.9.clq	77	32	0.26
C125.9.clq	78	31	0.42
C125.9.clq	79	32	0.23
C125.9.clq	80	32	0.32
C125.9.clq	81	31	0.33
C125.9.clq	82	30	0.24
C125.9.clq	83	34	0.50
C125.9.clq	84	32	0.41
C125.9.clq	85	31	0.34
C125.9.clq	86	31	0.33
C125.9.clq	87	31	0.34
C125.9.clq	88	30	0.22
C125.9.clq	89	32	0.36
C125.9.clq	90	31	0.45
C125.9.clq	91	31	0.35
C125.9.clq	92	33	0.33
C125.9.clq	93	30	0.25
C125.9.clq	94	31	0.42
C125.9.clq	95	33	0.32
C125.9.clq	96	29	0.23
C125.9.clq	97	31	0.24
C125.9.clq	98	33	0.45
C125.9.clq	99	32	0.42
C125.9.clq	100	32	0.36
