INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

p_hat700-3.clq	1	57	14.44
p_hat700-3.clq	2	58	7.20
p_hat700-3.clq	3	55	9.34
p_hat700-3.clq	4	56	7.20
p_hat700-3.clq	5	55	6.96
p_hat700-3.clq	6	55	9.25
p_hat700-3.clq	7	56	11.43
p_hat700-3.clq	8	55	7.21
p_hat700-3.clq	9	58	11.98
p_hat700-3.clq	10	55	11.46
p_hat700-3.clq	11	57	14.14
p_hat700-3.clq	12	55	7.15
p_hat700-3.clq	13	56	11.74
p_hat700-3.clq	14	58	7.19
p_hat700-3.clq	15	58	9.72
p_hat700-3.clq	16	56	9.83
p_hat700-3.clq	17	58	9.90
p_hat700-3.clq	18	56	7.44
p_hat700-3.clq	19	56	9.43
p_hat700-3.clq	20	57	14.34
p_hat700-3.clq	21	57	18.94
p_hat700-3.clq	22	57	9.88
p_hat700-3.clq	23	55	9.23
p_hat700-3.clq	24	56	7.39
p_hat700-3.clq	25	58	7.39
p_hat700-3.clq	26	54	6.79
p_hat700-3.clq	27	56	9.72
p_hat700-3.clq	28	59	12.35
p_hat700-3.clq	29	57	9.75
p_hat700-3.clq	30	57	12.10
p_hat700-3.clq	31	58	11.83
p_hat700-3.clq	32	59	11.92
p_hat700-3.clq	33	57	9.45
p_hat700-3.clq	34	58	12.12
p_hat700-3.clq	35	57	7.44
p_hat700-3.clq	36	57	7.23
p_hat700-3.clq	37	57	14.54
p_hat700-3.clq	38	56	7.16
p_hat700-3.clq	39	56	7.21
p_hat700-3.clq	40	57	14.59
p_hat700-3.clq	41	56	6.78
p_hat700-3.clq	42	55	7.27
p_hat700-3.clq	43	55	6.93
p_hat700-3.clq	44	57	9.16
p_hat700-3.clq	45	57	12.08
p_hat700-3.clq	46	57	11.26
p_hat700-3.clq	47	57	12.04
p_hat700-3.clq	48	56	7.23
p_hat700-3.clq	49	57	6.91
p_hat700-3.clq	50	56	11.83
p_hat700-3.clq	51	56	7.09
p_hat700-3.clq	52	56	9.55
p_hat700-3.clq	53	58	14.22
p_hat700-3.clq	54	55	9.16
p_hat700-3.clq	55	57	11.45
p_hat700-3.clq	56	57	16.68
p_hat700-3.clq	57	57	16.65
p_hat700-3.clq	58	57	7.47
p_hat700-3.clq	59	56	7.09
p_hat700-3.clq	60	56	9.15
p_hat700-3.clq	61	56	6.93
p_hat700-3.clq	62	57	18.78
p_hat700-3.clq	63	55	7.16
p_hat700-3.clq	64	56	7.19
p_hat700-3.clq	65	56	12.29
p_hat700-3.clq	66	57	7.14
p_hat700-3.clq	67	57	9.43
p_hat700-3.clq	68	58	7.24
p_hat700-3.clq	69	56	7.07
p_hat700-3.clq	70	58	14.29
p_hat700-3.clq	71	58	19.00
p_hat700-3.clq	72	57	13.83
p_hat700-3.clq	73	56	9.41
p_hat700-3.clq	74	57	9.19
p_hat700-3.clq	75	56	9.27
p_hat700-3.clq	76	58	9.79
p_hat700-3.clq	77	57	9.34
p_hat700-3.clq	78	56	7.23
p_hat700-3.clq	79	57	11.95
p_hat700-3.clq	80	56	6.98
p_hat700-3.clq	81	58	14.39
p_hat700-3.clq	82	57	14.29
p_hat700-3.clq	83	57	9.60
p_hat700-3.clq	84	57	7.37
p_hat700-3.clq	85	55	9.26
p_hat700-3.clq	86	56	7.28
p_hat700-3.clq	87	57	7.16
p_hat700-3.clq	88	57	7.23
p_hat700-3.clq	89	56	7.13
p_hat700-3.clq	90	57	7.47
p_hat700-3.clq	91	56	9.57
p_hat700-3.clq	92	56	7.09
p_hat700-3.clq	93	58	7.18
p_hat700-3.clq	94	56	9.43
p_hat700-3.clq	95	59	11.63
p_hat700-3.clq	96	54	7.04
p_hat700-3.clq	97	59	7.26
p_hat700-3.clq	98	60	16.39
p_hat700-3.clq	99	56	9.54
p_hat700-3.clq	100	55	14.38
