INSTANCE	ITERATION	MAXIMUM CLIQUE	RUNTIME

C500.9.clq	1	47	3.50
C500.9.clq	2	46	4.79
C500.9.clq	3	48	5.13
C500.9.clq	4	45	4.97
C500.9.clq	5	45	3.86
C500.9.clq	6	46	3.89
C500.9.clq	7	44	3.52
C500.9.clq	8	46	4.99
C500.9.clq	9	44	3.49
C500.9.clq	10	44	3.54
C500.9.clq	11	47	6.40
C500.9.clq	12	49	4.90
C500.9.clq	13	46	3.81
C500.9.clq	14	46	5.96
C500.9.clq	15	45	3.80
C500.9.clq	16	47	4.02
C500.9.clq	17	46	6.78
C500.9.clq	18	48	5.21
C500.9.clq	19	44	3.49
C500.9.clq	20	48	8.85
C500.9.clq	21	48	6.17
C500.9.clq	22	45	6.78
C500.9.clq	23	46	7.13
C500.9.clq	24	44	4.95
C500.9.clq	25	45	3.64
C500.9.clq	26	47	6.00
C500.9.clq	27	45	5.07
C500.9.clq	28	45	6.09
C500.9.clq	29	46	4.80
C500.9.clq	30	48	5.10
C500.9.clq	31	50	5.14
C500.9.clq	32	44	3.60
C500.9.clq	33	47	6.18
C500.9.clq	34	46	4.85
C500.9.clq	35	45	7.36
C500.9.clq	36	47	5.20
C500.9.clq	37	49	7.55
C500.9.clq	38	44	3.40
C500.9.clq	39	48	7.28
C500.9.clq	40	47	3.69
C500.9.clq	41	47	6.24
C500.9.clq	42	47	6.26
C500.9.clq	43	46	5.01
C500.9.clq	44	44	3.79
C500.9.clq	45	46	8.09
C500.9.clq	46	45	3.58
C500.9.clq	47	45	3.81
C500.9.clq	48	47	5.33
C500.9.clq	49	46	3.82
C500.9.clq	50	45	6.05
C500.9.clq	51	47	6.73
C500.9.clq	52	47	5.13
C500.9.clq	53	43	3.69
C500.9.clq	54	47	7.52
C500.9.clq	55	46	3.86
C500.9.clq	56	44	4.56
C500.9.clq	57	46	5.01
C500.9.clq	58	47	5.78
C500.9.clq	59	45	3.33
C500.9.clq	60	48	5.27
C500.9.clq	61	47	5.19
C500.9.clq	62	44	3.48
C500.9.clq	63	45	3.39
C500.9.clq	64	46	7.05
C500.9.clq	65	44	3.72
C500.9.clq	66	45	5.89
C500.9.clq	67	46	3.89
C500.9.clq	68	44	3.80
C500.9.clq	69	48	6.08
C500.9.clq	70	46	3.62
C500.9.clq	71	45	6.52
C500.9.clq	72	48	5.12
C500.9.clq	73	44	3.69
C500.9.clq	74	45	3.93
C500.9.clq	75	46	5.01
C500.9.clq	76	45	6.13
C500.9.clq	77	48	9.23
C500.9.clq	78	48	3.72
C500.9.clq	79	47	9.03
C500.9.clq	80	44	3.67
C500.9.clq	81	46	3.74
C500.9.clq	82	46	4.05
C500.9.clq	83	44	4.73
C500.9.clq	84	47	5.04
C500.9.clq	85	47	7.50
C500.9.clq	86	44	3.75
C500.9.clq	87	47	4.79
C500.9.clq	88	49	4.96
C500.9.clq	89	44	3.91
C500.9.clq	90	47	4.90
C500.9.clq	91	44	3.84
C500.9.clq	92	44	3.63
C500.9.clq	93	45	3.74
C500.9.clq	94	47	6.09
C500.9.clq	95	46	4.96
C500.9.clq	96	44	3.62
C500.9.clq	97	46	3.47
C500.9.clq	98	48	10.50
C500.9.clq	99	47	7.54
C500.9.clq	100	47	7.66
