INSTANCE	ITERATION	MAXIMUM_CLIQUE	RUNTIME
benchmarks/C250.9.clq	3	37	1.6524622440338135
benchmarks/C250.9.clq	4	38	1.9651284217834473
benchmarks/C250.9.clq	5	37	1.5594613552093506
benchmarks/C250.9.clq	6	37	1.7146663665771484
benchmarks/C250.9.clq	7	38	1.9139440059661865
benchmarks/C250.9.clq	8	36	1.489328384399414
benchmarks/C250.9.clq	9	35	1.6580920219421387
benchmarks/C250.9.clq	10	38	2.093008279800415
benchmarks/C250.9.clq	11	36	1.5526070594787598
benchmarks/C250.9.clq	12	35	1.5657739639282227
benchmarks/C250.9.clq	13	34	1.568359613418579
benchmarks/C250.9.clq	14	38	1.7058663368225098
benchmarks/C250.9.clq	15	35	1.5757057666778564
benchmarks/C250.9.clq	16	36	1.692422866821289
benchmarks/C250.9.clq	17	36	1.7375421524047852
benchmarks/C250.9.clq	18	37	1.7559075355529785
benchmarks/C250.9.clq	19	35	1.8796195983886719
benchmarks/C250.9.clq	20	35	1.4126858711242676
benchmarks/C250.9.clq	21	38	2.053819179534912
benchmarks/C250.9.clq	22	38	1.677464246749878
benchmarks/C250.9.clq	23	33	1.4775798320770264
benchmarks/C250.9.clq	24	38	2.0461649894714355
benchmarks/C250.9.clq	25	37	2.0687153339385986
benchmarks/C250.9.clq	26	38	2.4814913272857666
benchmarks/C250.9.clq	27	35	1.7071166038513184
benchmarks/C250.9.clq	28	36	1.9055805206298828
benchmarks/C250.9.clq	29	35	2.210545539855957
benchmarks/C250.9.clq	30	36	2.1801958084106445
benchmarks/C250.9.clq	31	36	2.4866902828216553
benchmarks/C250.9.clq	32	34	1.9199388027191162
benchmarks/C250.9.clq	33	35	2.075464963912964
benchmarks/C250.9.clq	34	37	1.9626998901367188
benchmarks/C250.9.clq	35	35	1.5539696216583252
benchmarks/C250.9.clq	36	38	1.6563985347747803
benchmarks/C250.9.clq	37	38	1.785644292831421
benchmarks/C250.9.clq	38	37	1.5178534984588623
benchmarks/C250.9.clq	39	36	1.6025476455688477
benchmarks/C250.9.clq	40	35	1.6586272716522217
benchmarks/C250.9.clq	41	33	1.525383472442627
benchmarks/C250.9.clq	42	35	1.8595902919769287
benchmarks/C250.9.clq	43	37	1.791001319885254
benchmarks/C250.9.clq	44	36	1.4330110549926758
benchmarks/C250.9.clq	45	39	1.834014892578125
benchmarks/C250.9.clq	46	39	1.9095234870910645
benchmarks/C250.9.clq	47	33	1.473440408706665
benchmarks/C250.9.clq	48	40	1.7217223644256592
benchmarks/C250.9.clq	49	36	1.5353548526763916
benchmarks/C250.9.clq	50	41	2.171064853668213
benchmarks/C250.9.clq	51	37	1.838912010192871
benchmarks/C250.9.clq	52	38	1.5858063697814941
benchmarks/C250.9.clq	53	36	1.6943573951721191
benchmarks/C250.9.clq	54	36	1.6739661693572998
benchmarks/C250.9.clq	55	36	1.7069432735443115
